rating,review
5.0,Very nice and beautiful Very nice and beautiful Very nice and beautiful
5.0,Size fit perfect and actual colour go for it worth it timely delivered love this kurti
5.0,this is my first experience but I would like this so please buy goods from this app
5.0,I can't say about the kurti because the sweating and everything was very nice
5.0,Just oshadharon asche jama ta color fabric darun hoyeche jol diye dhuyar poreo rong chare ni 😍😍😍😍😋😍😋😋😍😋
5.0,Good quality material. The look is also nice. At this price it is a good choice.
5.0,Thank you for this product I am very happy nice product everyone you must buy this product ❤️😊
5.0,Bhut aacha Hain kpra vi bhut aacha hai jesa pic m hai wesa hi hai thank you mesho
5.0,It's a very amazing and wonderful kurties.... thanks you meesho .......
5.0,It's very nice It's fabric very nice I obsessed with my order
5.0,Product is good design is awesome ✨but order 1 size bigger than yours
5.0,Itni chhoti sleeve nhi mashhoo app per badi sleeves dikhai thi ismein bahut chhoti hai jo hamare pass product aaya hai hamara Jo dusra product a raha hai chhoti bacchi ka suit ja Raha hai usmein Paisa Katwa denge ham okay
5.0,Kya ho bolu bhai bahot bahot bahot hi jada accha hai💓
5.0,bahut Achcha product Hai quality best Hai thank you meesho
5.0,Just loved the dress a lot...I have no words to describe my satisfaction
5.0,Same to same aya hai TQ mesho ek bar phir achha product Dene ke liye
5.0,So good for its price same shown in the picture worth buying
5.0,Super dress its very nice worth for money thank u meeshooooo
5.0,Nice quality 👌 Beautiful design I love this kurti
5.0,It's value for money product arive earlier of its delivery date
5.0,very comfortable nd good quality of fabric just go for it
5.0,Very good product.Real image is soo good than shown in pic.
5.0,Very nice product 👌🏽 and fabric quality was good cloth was soft
5.0,"Very very nice material.. Look great, fitting is also best"
5.0,The dress is very nice and the fabric is also very good❤️😚
5.0,Very nice product and service packages are nice
5.0,Quality of the product is very good...Very Nice Product
5.0,Super dress nice fabric is very smooth tq meesho😘😘😘
5.0,Bahut Achcha hai mujhe bahut pasand aaya aap log Le sakte hain
5.0,Awesome product recieved.... Thnku meesho..... You can go for it
4.0,Nice but material is not expected....its okay go for it guys
4.0,This is my first order from messo... very setisfy.. thankyou messo❤️
5.0,Perfect size and super stitching thank you meesho
5.0,Nice but heavy
5.0,"Better than expected for the price,good fabric and fitting, threadwork is a little damaged but overall good"
5.0,Good
5.0,Good prodekt
5.0,Nyc kurti 👌👌
5.0,Very nice achha hai
5.0,Kurti fabric cooton ki he boht achhi aayi I love this product thankyou meesho
5.0,Super dress thanks meesho
5.0,It is so nice product
5.0,I like this kurti very much...
5.0,Very this is good but it's to long
5.0,Hiiib baat hello sir
5.0,I like this product and I'm ordered this product first time on meesho
5.0,Size fit is perfect...hopefully it won't shrink.good one .
5.0,Acchi quality accha product good meeshu thnx meeshu
5.0,Good produced 💯👍☑️ anyone interested in work from home☑️part time full time available ☑️ housewife students can we apply here 6389542340
